pID;block;trial;citynumber.100.Reset.;In.1..Out.0..Reset.3.;time
tsp01;1;18; 18;1; 3,5566220
tsp01;1;18; 16;1; 4,2229690
tsp01;1;18;  3;1; 4,6893920
tsp01;1;18;  5;1; 5,2247280
tsp01;1;18; 12;1; 5,8572580
tsp01;1;18; 12;0; 6,2747080
tsp01;1;18;  5;0; 7,4407310
tsp01;1;18;  5;1; 8,2391000
tsp01;1;18; 12;1; 8,9906230
tsp01;1;18; 12;0; 9,4240720
tsp01;1;18; 12;1;10,1400500
tsp01;1;18;  0;1;10,5898900
tsp01;1;18; 13;1;11,3246300
tsp01;1;18; 19;1;12,9728100
tsp01;1;18; 10;1;13,6049400
tsp01;1;18; 14;1;14,1898500
tsp01;1;18;  4;1;16,2558900
tsp01;1;18; 11;1;16,8535000
tsp01;1;18;  7;1;17,5556600
tsp01;1;18;  9;1;18,3721200
tsp01;1;18;  8;1;19,5058800
tsp01;1;18; 15;1;19,9032300
tsp01;1;18; 15;0;21,8717100
tsp01;1;18; 15;1;25,2368600
tsp01;1;18; 15;0;25,6208600
tsp01;1;19;  7;1; 1,8346940
tsp01;1;19; 10;1; 2,4488680
tsp01;1;19;  0;1; 3,2679180
tsp01;1;19;  1;1; 3,9010010
tsp01;1;19; 14;1; 4,6163330
tsp01;1;19; 17;1; 4,9338000
tsp01;1;19;  8;1; 5,4995040
tsp01;1;19;  4;1; 6,4167400
tsp01;1;19; 15;1; 7,1003650
tsp01;1;19; 11;1; 7,9314920
tsp01;1;19; 16;1; 8,4161170
tsp01;1;19;  2;1; 9,2826120
tsp01;1;19; 18;1;10,0158600
tsp01;1;19; 12;1;10,9666000
tsp01;1;19; 19;1;12,2493900
tsp01;1;19;  5;1;12,5984100
tsp01;1;19; 13;1;13,1812600
tsp01;1;19;  9;1;13,5147800
tsp01;1;19;  6;1;13,9988300
tsp01;1;19;  3;1;14,7472800
tsp01;1;19;  7;1;15,7317900
tsp01;1;20; 12;1; 3,3944780
tsp01;1;20;  6;1; 4,0282520
tsp01;1;20;  0;1; 4,4783630
tsp01;1;20;  3;1; 5,3129390
tsp01;1;20; 14;1; 5,8787540
tsp01;1;20;  9;1; 6,5107540
tsp01;1;20;  1;1; 7,1791990
tsp01;1;20;  4;1; 7,9940530
tsp01;1;20; 11;1; 8,7787700
tsp01;1;20; 19;1; 9,4613110
tsp01;1;20;  7;1; 9,8620150
tsp01;1;20;  8;1;10,4934400
tsp01;1;20; 18;1;10,8616500
tsp01;1;20; 16;1;11,3122500
tsp01;1;20;  5;1;12,2111300
tsp01;1;20; 13;1;12,5930800
tsp01;1;20; 10;1;14,0598400
tsp01;1;20; 17;1;14,6430900
tsp01;1;20; 15;1;15,0762800
tsp01;1;20;  2;1;15,5592300
tsp01;1;20; 12;1;16,2268000
tsp01;1;21;  5;1; 1,9583550
tsp01;1;21; 14;1; 2,6437950
tsp01;1;21; 11;1; 3,3763770
tsp01;1;21;  0;1; 4,0587810
tsp01;1;21; 17;1; 4,4239390
tsp01;1;21;  6;1; 4,9747280
tsp01;1;21; 19;1; 6,1072620
tsp01;1;21; 16;1; 6,4593320
tsp01;1;21; 10;1; 6,8241730
tsp01;1;21;  3;1; 7,6083910
tsp01;1;21;  1;1; 8,7748810
tsp01;1;21;  8;1; 9,1424580
tsp01;1;21; 15;1; 9,7244010
tsp01;1;21;  7;1;10,3396400
tsp01;1;21; 12;1;10,7914900
tsp01;1;21;  2;1;12,0407400
tsp01;1;21; 18;1;13,6740100
tsp01;1;21;  9;1;15,9059100
tsp01;1;21; 13;1;16,6398200
tsp01;1;21;  4;1;17,4410600
tsp01;1;21;  5;1;18,2900600
tsp01;1;22; 13;1; 1,8613550
tsp01;1;22; 12;1; 2,5783390
tsp01;1;22;  0;1; 4,9612310
tsp01;1;22;  4;1; 5,3951800
tsp01;1;22;  2;1; 5,7281150
tsp01;1;22;  6;1; 6,1952510
tsp01;1;22; 14;1; 6,5103530
tsp01;1;22;  5;1; 7,1277470
tsp01;1;22;  3;1; 7,4943810
tsp01;1;22;  9;1; 7,9445000
tsp01;1;22; 19;1; 8,2270180
tsp01;1;22;  8;1; 8,8438910
tsp01;1;22; 18;1; 9,6439000
tsp01;1;22; 11;1;10,1937000
tsp01;1;22; 15;1;10,7778200
tsp01;1;22;  7;1;11,4940700
tsp01;1;22; 10;1;12,1267800
tsp01;1;22; 17;1;12,8938400
tsp01;1;22; 16;1;13,8094300
tsp01;1;22;  1;1;14,4258700
tsp01;1;22; 13;1;15,1938200
tsp01;1;23; 10;1; 1,6975330
tsp01;1;23; 11;1; 2,0466540
tsp01;1;23; 15;1; 2,6810800
tsp01;1;23;  2;1; 3,0466460
tsp01;1;23;  9;1; 4,1284370
tsp01;1;23;  3;1; 4,6294100
tsp01;1;23; 19;1; 5,3304410
tsp01;1;23;  7;1; 7,1946410
tsp01;1;23; 13;1;10,2282400
tsp01;1;23; 17;1;10,5955100
tsp01;1;23;  4;1;11,1939400
tsp01;1;23;  8;1;11,7289300
tsp01;1;23;  0;1;12,3271500
tsp01;1;23; 18;1;13,0448800
tsp01;1;23; 14;1;13,4958800
tsp01;1;23;  1;1;14,1627300
tsp01;1;23;  5;1;14,7110000
tsp01;1;23; 16;1;15,0774200
tsp01;1;23; 12;1;16,0446600
tsp01;1;23;  6;1;17,2927000
tsp01;1;23; 10;1;18,1270300
tsp01;1;24; 17;1; 2,1467700
tsp01;1;24; 12;1; 2,6137660
tsp01;1;24;  1;1; 3,2132150
tsp01;1;24;  8;1; 4,1132160
tsp01;1;24; 14;1; 4,9470710
tsp01;1;24;  6;1; 5,2943530
tsp01;1;24;  0;1; 5,8132970
tsp01;1;24;  2;1; 6,3773990
tsp01;1;24; 11;1; 7,1104200
tsp01;1;24;  3;1; 7,6951260
tsp01;1;24; 18;1; 8,4269050
tsp01;1;24;  7;1; 9,3932060
tsp01;1;24; 13;1; 9,8113520
tsp01;1;24; 10;1;10,2954900
tsp01;1;24; 16;1;10,9946300
tsp01;1;24;  5;1;11,4940500
tsp01;1;24;  9;1;13,0109300
tsp01;1;24;  4;1;13,5091800
tsp01;1;24; 19;1;14,1594200
tsp01;1;24; 15;1;14,7283300
tsp01;1;24; 17;1;16,8941200
tsp01;2; 1;  3;1; 2,4746060
tsp01;2; 1;  4;1; 3,5744020
tsp01;2; 1; 17;1; 4,5407750
tsp01;2; 1; 19;1; 5,1731220
tsp01;2; 1;  1;1; 5,7227940
tsp01;2; 1; 13;1; 6,2729230
tsp01;2; 1;  0;1; 6,7232820
tsp01;2; 1; 10;1; 7,4893040
tsp01;2; 1;  2;1; 7,8894200
tsp01;2; 1; 15;1; 8,4547940
tsp01;2; 1;  8;1; 9,1051180
tsp01;2; 1; 11;1;10,0056600
tsp01;2; 1; 14;1;10,4392000
tsp01;2; 1;  5;1;10,9400200
tsp01;2; 1;  6;1;11,4390300
tsp01;2; 1; 12;1;12,0548600
tsp01;2; 1; 16;1;12,3876700
tsp01;2; 1;  7;1;12,9225800
tsp01;2; 1; 18;1;13,3724800
tsp01;2; 1;  9;1;13,7054600
tsp01;2; 1;  3;1;14,8531700
tsp01;2; 2; 19;1; 2,0095790
tsp01;2; 2; 11;1; 2,7432670
tsp01;2; 2;  3;1; 3,6110120
tsp01;2; 2;  6;1; 4,0606770
tsp01;2; 2;  4;1; 4,3591080
tsp01;2; 2; 14;1; 4,8108140
tsp01;2; 2; 12;1; 5,1946640
tsp01;2; 2; 18;1; 5,7600020
tsp01;2; 2; 13;1; 9,4935320
tsp01;2; 2; 16;1;10,4597000
tsp01;2; 2;  0;1;10,9253700
tsp01;2; 2;  1;1;11,2925900
tsp01;2; 2;  5;1;11,6754000
tsp01;2; 2; 10;1;12,3601100
tsp01;2; 2;  8;1;13,0423000
tsp01;2; 2; 17;1;13,3928900
tsp01;2; 2;  7;1;14,1761600
tsp01;2; 2; 15;1;14,6088100
tsp01;2; 2;  9;1;15,1919500
tsp01;2; 3; 16;1; 1,1566850
tsp01;2; 3; 15;1; 1,7408520
tsp01;2; 3;  9;1; 2,1060370
tsp01;2; 3; 17;1; 2,6406020
tsp01;2; 3;  3;1; 3,3725510
tsp01;2; 3; 14;1; 4,4560930
tsp01;2; 3;  1;1; 4,8215560
tsp01;2; 3;  2;1; 5,4396860
tsp01;2; 3; 12;1; 6,6215210
tsp01;2; 3; 11;1; 8,1378780
tsp01;2; 3;  5;1; 8,9225670
tsp01;2; 3; 13;1; 9,2705080
tsp01;2; 3; 18;1;10,3717300
tsp01;2; 3;  4;1;10,6717200
tsp01;2; 3;  7;1;10,9709200
tsp01;2; 3;  6;1;11,6716800
tsp01;2; 3; 19;1;12,1713800
tsp01;2; 3; 10;1;12,9389400
tsp01;2; 3;  8;1;13,9878800
tsp01;2; 3;  0;1;14,6196400
tsp01;2; 3; 16;1;15,3529300
tsp01;2; 4; 16;1; 1,9187090
tsp01;2; 4;  7;1; 2,7862660
tsp01;2; 4; 14;1; 4,0015370
tsp01;2; 4; 17;1; 4,5704610
tsp01;2; 4; 18;1; 5,2032810
tsp01;2; 4;  3;1; 5,7356950
tsp01;2; 4;  0;1; 6,2024190
tsp01;2; 4;  8;1; 6,8860630
tsp01;2; 4;  8;0; 8,4530810
tsp01;2; 4;  0;0; 9,0004120
tsp01;2; 4; 19;1; 9,9670070
tsp01;2; 4;  0;1;10,7195500
tsp01;2; 4;  8;1;11,3855900
tsp01;2; 4;  5;1;11,9850700
tsp01;2; 4;  2;1;12,7333200
tsp01;2; 4;  4;1;13,2509700
tsp01;2; 4;  1;1;13,9006400
tsp01;2; 4; 15;1;14,4350000
tsp01;2; 4;  9;1;15,6675400
tsp01;2; 4; 11;1;16,0498300
tsp01;2; 4;  6;1;16,8505400
tsp01;2; 4; 10;1;18,3008900
tsp01;2; 4; 13;1;18,7837100
tsp01;2; 4; 12;1;19,4166500
tsp01;2; 4; 16;1;20,0161000
tsp01;2; 5; 16;1; 4,0097270
tsp01;2; 5;  2;1; 5,1604580
tsp01;2; 5; 15;1; 5,4925230
tsp01;2; 5; 18;1; 6,0434300
tsp01;2; 5; 10;1; 6,7933960
tsp01;2; 5; 19;1; 7,1599040
tsp01;2; 5; 14;1; 7,7933040
tsp01;2; 5;  5;1; 8,5587460
tsp01;2; 5; 13;1; 9,0430580
tsp01;2; 5;  1;1; 9,6437610
tsp01;2; 5;  4;1;12,3095000
tsp01;2; 5;  8;1;13,0245600
tsp01;2; 5; 12;1;13,6074900
tsp01;2; 5;  3;1;14,0083200
tsp01;2; 5; 11;1;14,4765000
tsp01;2; 5; 17;1;15,0928700
