pID;instanceNumber;block;trial;answer;correct;timeSpent;randomYes.1.Left.No.Right.Yes.;error;v;l;id;type;sol;nVariables;nLiterals;nClauses;ratio;phaseT;region;solution;solvetime;restarts;conflicts;decisions;propagations;clauses;literals
sat02;21;2; 8;0;1;103,8938000;1;NA;1,3,5,1,3,4,1,2,5,1,3,4,2,3,4,1,4,5,1,4,5,1,3,5,2,3,4,3,4,5,1,3,5,1,3,4,2,4,5,2,3,4,2,3,4,1,3,5,2,4,5,3,4,5,1,2,3,1,2,4,2,3,5,1,2,5,1,3,4,2,3,5;1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0;4.8-190;3;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;5;4;12;24;5
sat02;22;4; 8;0;1; 69,9877900;1;NA;3,4,5,1,3,4,1,2,5,1,3,4,3,4,5,1,4,5,1,3,5,1,3,5,3,4,5,2,3,4,2,3,5,2,3,4,1,2,3,1,3,5,2,4,5,1,2,4,3,4,5,2,4,5,2,4,5,3,4,5,2,4,5,1,2,4,2,3,4,2,3,5;0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0;4.8-728;3;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;5;4;13;24;5
sat02;23;1; 7;0;1; 99,7314000;1;NA;3,4,5,1,4,5,1,4,5,1,2,5,1,3,5,3,4,5,1,4,5,1,4,5,1,4,5,1,3,4,1,2,3,2,3,5,1,2,5,1,2,5,1,2,4,1,3,5,1,3,4,2,3,5,2,4,5,1,3,4,1,2,5,2,3,5,2,3,5,3,4,5;0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1;4.8-586;3;0;5; 72;24;4,8;1;Phase Transition;0;0,000;1;4;3;10;24;5
sat02;24;1; 8;0;1; 86,1157800;1;NA;1,3,5,3,4,5,1,2,5,1,2,3,1,2,5,2,3,4,3,4,5,1,2,3,1,3,5,1,3,5,2,3,4,3,4,5,1,2,4,2,4,5,1,2,3,2,3,4,1,3,5,1,3,4,3,4,5,3,4,5,1,3,4,2,3,5,2,3,4,1,2,4;1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1;4.8-809;3;0;5; 72;24;4,8;1;Phase Transition;0;1,308;1;5;4;11;24;5
sat02;25;3; 3;1;1; 27,9632000;1;NA;2,4,5,1,3,5,1,3,4,2,3,4,1,4,5,1,3,5,3,4,5,2,3,4,1,3,5,2,3,5,2,3,4,1,2,3,1,2,3,1,3,5,1,3,4,1,2,4,1,4,5,2,3,5,1,2,5,1,3,4,1,4,5,1,2,5,1,4,5,1,2,4;1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1;4.8-964;4;1;5; 72;24;4,8;1;Phase Transition;1;1,968;1;2;4; 8;24;5
sat02;26;4; 3;1;1; 47,3931700;0;NA;3,4,5,1,2,3,1,2,5,1,3,5,1,3,4,1,2,5,2,4,5,2,3,4,1,3,4,2,4,5,1,3,4,1,2,5,2,3,4,2,3,5,2,3,5,1,2,3,1,2,3,1,3,5,2,3,4,1,2,4,2,3,5,2,4,5,1,2,4,1,3,4;0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0;4.8-202;4;1;5; 72;24;4,8;1;Phase Transition;1;0,000;1;3;4;11;24;5
sat02;27;2; 3;0;0; 97,9973100;0;NA;2,4,5,1,3,5,1,2,3,1,2,5,2,3,4,1,4,5,1,2,3,1,3,5,1,3,5,2,3,4,1,2,5,1,3,5,2,3,5,1,2,4,1,2,3,3,4,5,1,2,5,2,3,4,1,2,4,2,4,5,1,2,4,1,3,4,1,2,5,1,4,5;1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1;4.8-34;4;1;5; 72;24;4,8;1;Phase Transition;1;1,797;1;2;4; 9;24;5
sat02;28;3;14;1;1; 42,2253400;0;NA;1,3,4,2,3,5,1,2,3,1,3,4,1,3,5,1,4,5,1,3,4,2,4,5,1,3,4,1,2,5,2,3,5,1,2,4,1,2,3,1,3,5,1,3,4,1,2,4,2,3,4,1,2,4,1,4,5,2,4,5,1,3,4,1,4,5,3,4,5,1,2,4;1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1;4.8-525;4;1;5; 72;24;4,8;1;Phase Transition;1;1,358;1;2;4;10;24;5
sat02;29;2;14;0;0; 67,5380900;1;NA;1,3,5,3,4,5,2,4,5,1,2,3,2,3,5,1,3,5,1,4,5,2,4,5,3,4,5,1,3,5,1,2,4,2,3,5,1,2,4,1,3,5,1,3,4,2,4,5,2,4,5,2,3,5,1,3,4,1,2,4,1,3,4,1,2,5,2,3,4,1,4,5;1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1;4.8-376;4;1;5; 72;24;4,8;1;Phase Transition;1;1,010;1;1;3; 7;24;5
sat02;30;4;14;1;1; 33,8446400;1;NA;3,4,5,1,2,3,1,2,5,1,3,4,1,4,5,1,3,4,3,4,5,1,2,3,1,4,5,1,2,4,2,3,4,1,2,3,2,3,5,1,2,4,1,3,5,3,4,5,2,3,4,2,3,4,1,2,4,2,4,5,1,3,4,1,2,5,2,3,5,3,4,5;0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1;4.8-585;4;1;5; 72;24;4,8;1;Phase Transition;1;1,016;1;3;4;13;24;5
sat02;31;1; 3;1;1; 23,7572800;1;NA;1,2,4,1,3,5,1,3,5,2,3,4,1,2,3,1,3,4,2,3,4,3,4,5,2,3,4,2,4,5,1,2,3,2,3,4,1,2,3,1,2,3,1,3,5,2,4,5,2,3,4,1,2,3,2,4,5,1,4,5,1,2,5,1,2,5,1,2,5,1,4,5;1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1;4.8-335;4;1;5; 72;24;4,8;1;Phase Transition;1;1,293;1;2;4; 8;24;5
sat02;32;1;14;1;1; 29,3107500;0;NA;1,3,4,1,2,5,1,2,3,2,4,5,2,3,5,1,4,5,1,4,5,1,2,5,3,4,5,2,4,5,1,2,4,1,4,5,2,3,4,1,2,5,1,3,5,2,4,5,2,4,5,1,2,4,1,2,4,1,2,5,2,3,4,2,3,5,3,4,5,1,2,3;0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1;4.8-282;4;1;5; 72;24;4,8;1;Phase Transition;1;0,000;1;1;3; 8;24;5
sat02;33;3;16;1;1; 50,4043100;0;NA;3,4,5,1,3,5,1,3,4,1,2,5,1,3,5,1,3,5,1,2,3,1,3,4,1,2,3,1,2,5,1,4,5,1,2,5,1,3,5,3,4,5,3,4,5,1,3,5,1,3,4,2,3,5,1,2,4,1,4,5,1,2,4,2,3,5,1,2,5,2,3,4,1,2,3,3,4,5,1,2,4,2,3,5,1,2,4,1,4,5,1,2,3,1,3,4,1,2,5,2,3,5,1,2,4;0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1;7.036-279;5;1;5;105;35;7,0;0;Overconstrained;1;1,342;1;3;4;10;35;5
